office_id;agency;branch;broker_owner;address;tel;email;latitude;longitude;postal_address;qa_email;website_url;bdc;;;;;;;
800608;RE/MAX;All Stars (Alberton);HQ Administrator;"81 Nelson Mandela Avenue; Randhart; Alberton; 1449";011 907 6275;jennyd@remax.net;-26285875;2810885;Po Box 5615 Meyersdal;1447;jennyd@remax.net;www.remax.co.za;Vanessa Sofianos;;;;;;
800623;RE/MAX;All Stars (Germiston);HQ Administrator;"126 Webber Rd; Lambton; Germiston; 1401";011 824 4383;jennyd@remax.net;-262447272;281785528;P.O Box 5615; Meyersdal;1447;jennyd@remax.net;www.remax.co.za;Vanessa Sofianos;;;;;
75516;RE/MAX;All Stars (Primrose);HQ Administrator;"48 Main Road; Fishers Hill; Germiston; 1401";+27 010 109 8766;jennyd@remax.net;-26181528;281571623;P.O Box 5615; Meyersdal;1447;jennyd@remax.net;www.remax.co.za;Vanessa Sofianos;;;;;
800540;RE/MAX;Bay (Humewood);HQ Administrator;"1 Beach Road; Humewood; Port Elizabeth; Eastern Cape; 6001";415850771;david@remaxbay.co.za;-339739333;256418782;P O Box 20081; Humewood;6013;laura.m@remaxbay.co.za;www.remaxbay.co.za;Gavin van Zyl;;;;;
800660;RE/MAX;Blue Chip Realty (Moot);Frans Johannes Havenga;"Shop 1D Bouwer Broers; 521 Johan Heyns Drive; Gezina; Pretoria; 0186";012 3350700;hendrik@remaxbluechip.co.za;-25717628;28203109;Shop 1D Bouwer Broers; 521 Johan Heyns Drive; Gezina; Pretoria;186;hendrik@remaxbluechip.co.za;www.remax.co.za;Valerie Kritzinger;;;
800999;RE/MAX;Blue Chip Realty (Val de Grace);Petro Terblanche; Frans Havenga; HQ Administrator; Hendrik Havenga;"HB Forum Building; 13 Stamvrug Street; Val De Grace; Pretoria; 0002";012 4813570;sales2@remaxbluechip.co.za;-257457282;282940927;HB Forum Building; 13 Stamvrug Street; Val De Grace; Pretoria;2;sales2@remaxbluechip.co.za;;Valerie Kritzinger
800596;RE/MAX;Border  (Beacon Bay);HQ Administrator; Mark Attwood;"Unit 1 First Floor; 14 Quenera Drive; Beacon Bay; East London; 5200";043 748 5847;mark@remaxborder.co.za;-329602546;279351756;P O Box 2870 Beacon Bay 5205;mark@remaxborder.co.za;www.remaxborder.co.za;Gavin van Zyl;;;;;;
804073;RE/MAX;Border (Amalinda);HQ Administrator; Mark Attwood; Beverley Muller;"Shop 6; 24 Main Road; Amalinda; East London; 5200";+27 43 748 5847;remaxborder@telkomsa.net;-329957719;2787264909;P O Box 2870 Beacon Bay 5205;remaxborder@telkomsa.net;www.remaxborder.co.za;Gavin van Zyl;;;;;
75519;RE/MAX;Border (Gonubie);HQ Administrator; Mark Attwood;"31 Main Road; Gonubie; East London; 5256";+27 043 050 0350;mark@remaxborder.co.za;-329383331;280100494;P O Box 2870 Beacon Bay 5205;mark@remaxborder.co.za;www.remaxborder.co.za;Gavin van Zyl;;;;;;
800647;RE/MAX;Bushveld (Bela Bela);HQ Administrator;"Shop 35 Bela Mall; R101; Bela Bela; 0480";014 736 6495;bela@remaxbushveld.co.za;-248888444;282934934;PO Box 1972; Bela Bela; Limpopo;480;bela@remaxbushveld.co.za;www.remax.co.za;Vanessa Sofianos;;;;
800601;RE/MAX;Bushveld (Lephalale);Jaco Behrens;"Shop 4 Bosveld Boulevard; Dagbreek Drive; Onverwacht; Lephalale; 0557";014 763 2003;marekting@remaxbushveld.co.za;-23687607;276989461;PO Box 1674 Ellisras 0555;marekting@remaxbushveld.co.za;www.remax.co.za;Vanessa Sofianos;;;;;;;
800673;RE/MAX;Bushveld (Modimolle);HQ Administrator;"8 Nelson Mandela Drive; Modimolle; 0510";014 717 3125;admin@remaxbushveld.co.za;-247124924;28415915;8 Nelson Mandela Drive; Modimolle;510;admin@remaxbushveld.co.za;www.remax.co.za;Vanessa Sofianos;;;;;
802049;RE/MAX;Capital (Hazelwood);HQ Administrator;"Shop 204; The Club Retail Park; 2nd Floor; 30 Elandslaagte Road; Hazelwood; Pretoria; 0081";860022117;info@remaxcapital.co.za;-25771465;282423833;Shop 204; The Club Retail Park; 2nd Floor; 30 Elandslaagte Road; Hazelwood; Pretoria;81;office@remaxtriplea.co.za;;Valerie Kritzinger;
800587;RE/MAX;Capital (Montana);HQ Administrator;"Shop 16 Montana Crossing; cnr Dirk & Veronica Roads; Montana; Pretoria; 0186";860022117;info@remaxdestiny.co.za;-256776736;28242168;P O Box 851 Montana Park;159;info@remaxdestiny.co.za;www.remax-destiny.co.za;Valerie Kritzinger;;;;;;
800617;RE/MAX;Coast And Country (Hibberdene);Mark Jones; HQ Administrator; Jacqueline Booyzen; Pat Symcox; Norman Phillips;"Shop 14 Marlin Mall; Hibberdene; 4220 ";039 699 1036;pat@symprop.co.za;-305819972;305709938;Shop 14 Marlin Mall; Hibberdene;4220;pat@symprop.co.za;www.remax.co.za;Tommy Thompson;
800669;RE/MAX;Coast and Country (Port Shepstone);Mark Jones; HQ Administrator; Jacqueline Booyzen; Pat Symcox; Norman Phillips;"64 Link Road; Umtentweni; Port Shepstone";039 682 4099;pat@symprop.co.za;-307082431;304784546;64 Link Road; Umtentweni; Port Shepstone;pat@symprop.co.za;www.remax.co.za;Tommy Thompson;
804075;RE/MAX;Coast and Country (Scottburgh);Mark Jones; HQ Administrator; Jacqueline Booyzen; Pat Symcox; Norman Phillips;"Shop 1 Sanleen Court; 129 Scott Street; Scottburgh; 4180";+27 39 9781312;pat@symprop.co.za;-302843987;3075603116;Shop 1 Sanleen Court; 129 Scott Street; Scottburgh;4180;symmo@scottnet.co.za;;Tommy Thompson
801745;RE/MAX;Coast and Country (Shelly Beach);Mark Jones; HQ Administrator; Jacqueline Booyzen; Pat Symcox; Norman Phillips;"Shop 4 Staffordshire Place; Lot 117 Marine Drive; Shelly Beach; 4265";27393151076;pat@symprop.co.za;-307743842;304308807;Shop 4 Staffordshire Place; Lot 117 Marine Drive; Shelly Beach;4265;;;
804070;RE/MAX;Coast and Country (Southbroom);Mark Jones; HQ Administrator; Jacqueline Booyzen; Pat Symcox; Norman Phillips;"Shop No. 4A Ilala Boulevard; Gilbert Road; Southbroom; 4277";+27 39 315 1076;pat@symprop.co.za;-309144102;303239035;Shop No. 4A Ilala Boulevard; Gilbert Road; Southbroom;4277;pat@symprop.co.za;www.remax.co.za;Tommy Thompson
800643;RE/MAX;Coastal (Knysna);Schalk Van Der Merwe; HQ Administrator; Chris Van Der Merwe;"Sawtooth Building;  Sawtooth Lane; Thesen Harbour Town; Thesen Island; Knysna; 6570";044 382 5722;admin@remaxcoastal.co.za;-340482752;230487137;Sawtooth Building; Sawtooth Lane;Thesen Harbour Town; Thesen Island; Knysna;6570;;;
800605;RE/MAX;Country Classic (Ladybrand);Dale Roberts; HQ Administrator;"33 Prinsloo Street; Ladybrand; 9745";+27 (0)51 924 1032;daleroberts.remax@gmail.com;-291953049;274549672;P O Box 1275; Ladybrand;9745;daleroberts.remax@gmail.com;www.remax.co.za;Gavin van Zyl;;;;
800584;RE/MAX;Country Living (Wellington);HQ Administrator;"7 Kerk Str; Wellington; 7655";021 873 7242;marlizevs@mweb.co.za;-33641172;19004827;P O Box 1142; Wellington;7655;marlizevs@mweb.co.za;www.remaxboland.co.za;Tommy Thompson;;;;;
804065;RE/MAX;Dazzle (Benoni);Susan Weston;"2 Sarel Cilliers Street; Rynfield; Benoni; 1501";011 394 9058;nevbrits@mweb.co.za;-2615724986;2832095336;P O Box 3687;Gleneagles;Aston Manor;1630;nevbrits@mweb.co.za;www.remax.co.za;Vanessa Sofianos;;;;
145;RE/MAX;Dazzle (Kempton Park);Susan Weston;"75 Monument Road; Kempton Park;1619";011 394 9058;nevbrits@mweb.co.za;-2609085;2823665;P O Box 3687;Gleneagles;Aston Manor;1630;nevbrits@mweb.co.za;www.remax.co.za;Vanessa Sofianos;;;;
800557;RE/MAX;De Kloof (Goodwood);HQ Administrator;"147 Vasco Boulevard; Goodwood; 7460";021 592 4483;redekg@mweb.co.za;-338998337;185554728;P O Box 15026; Panorama;7506;redekg@mweb.co.za;www.remax.co.za;Tommy Thompson;;;;;
90;RE/MAX;De Kloof (Panorama);HQ Administrator;"Kaapzicht Business Centre; Cnr. President Swart & Haydn Streets; Panorama; 7500";021 939 8161;general@remaxdekloof.co.za;-338850703;185653981;P O Box 15026; Panorama;7506;general@remaxdekloof.co.za;www.remax.co.za;Tommy Thompson;;;;;
800612;RE/MAX;Diamond (Kimberley);Hedley Collen; HQ Administrator; Geoffrey Whyte; Esti Potgieter;"203 Du Toitspan Road; Belgravia; Kimberley; 8301 ";053 832 2361;geoffrey@remaxdiamond.co.za;-2875588;247641002;PO BOX 3551;Diamond Pavillion; Kimberley;8305;geoffrey@remaxdiamond.co.za;www.remax.co.za;Gavin van Zyl;
800649;RE/MAX;Direct (Allen's Nek);HQ Administrator;"15 Kroton Street North; Weltevreden Park; 1709";011 675 6937;info@remax-direct.co.za;-26134832;27916314;15 Kroton Street North; Weltevreden Park;1709;info@remaxproprentors.co.za;remax.co.za;Vanessa Sofianos;;;;;
1877;RE/MAX;Dolphin Realtors (Ballito);HQ Administrator;"Unit 4B; 29 Sandra Road; Ballito; 4420";032 946 0881;info@remaxdolphin.co.za;-295434832;312139179;P O Box 418; Ballito;4420;info@remaxdolphin.co.za;www.remaxdolphin.co.za;Valerie Kritzinger;;;;;
800580;RE/MAX;Dolphin Realtors (La Mercy);HQ Administrator;"Shop 6; Park Avenue; Desainager; 4400";+27 (0)32 943 1925;info@remaxdolphin.co.za;-29616666;3115163;P O Box 418; Ballito;4420;info@remaxdolphin.co.za;www.remaxdolphin.co.za;Valerie Kritzinger;;;;;
800573;RE/MAX;Dolphin Realtors (Salt Rock);HQ Administrator;"Shop 1B Tiffany's Shopping Centre; Salt Rock; 4391";032 525 4796;info@remaxdolphin.co.za;-294815302;31227938;P O Box 418; Ballito;4420;info@remaxdolphin.co.za;www.remaxdolphin.co.za;Valerie Kritzinger;;;;;
802021;RE/MAX;Dynamique (Windhoek);Nolan Geldenhuys; Amanda Geldenhuys; HQ Administrator;"433 Tsauchab Street; Cimbebasia; Windhoek";+264 85 223 2536;nolan.remax@gmail.com;-22631148;17083451;433 Tsauchab Street; Cimbebasia; Windhoek;nolan.remax@gmail.com;www.remax.co.za;Valerie Kritzinger;;;
803988;RE/MAX;Ebenezer (Soweto);HQ Administrator; Mohau Motaung; Elisa Maponya;"6934 cnr  Wild Chestnut & Protea Boulevard; Protea Glen; Extension 11; 1818";010 140 2512;info@remax-ebenezer.com;-263200389;27826362;6934 cnr  Wild Chestnut & Protea Boulevard; Protea Glen; Extension 11;1818;info@remax-ebenezer.com;www.remax-ebenezer.co.za;Vanessa Sofianos;;
800644;RE/MAX;Eden (Wilderness);Schalk Van Der Merwe; HQ Administrator; Chris Van Der Merwe;"Shop 3; 1 George Street; Wilderness; 6560";044 8770042;admin@remaxeden.co.za;-339941576;225759696;Shop 3; 1 George Street; Wilderness;6560;admin@remaxeden.co.za;www.remax.co.za;Gavin van Zyl;;
804064;RE/MAX;Ekhaya (Welverdiend);HQ Administrator;"20 South Street; Carletonville; 2499";+27 018 786 3460;admin@remaxekhaya.co.za;-263503145;273933762;20 South Street; Carletonville;2499;admin@remaxekhaya.co.za;;Vanessa Sofianos;;;;;
89;RE/MAX;Elite (Plumstead);Charles Haigh; HQ Administrator;"Shop 5 Prospur Centre; Churchill Road; Plumstead; 7800";+27 (0)21 762 0222;info@remax-elite.co.za;-34021168;18483402;P O Box 224 Plumstead;7801;info@remax-elite.co.za;www.remax-elite.co.za;Tommy Thompson;;;;;
187629;RE/MAX;Evolve (Fourways);HQ Administrator;"5 Otto Close; Westlake Business Park; Westlake; 7945";825781514;info@remax-evolve.co.za;-26010339;277397731;5 Otto Close; Westlake Business Park; Westlake;7945;info@remax-evolve.co.za;remax-evolve.co.za;NULL;;;;
800665;RE/MAX;Excellence (Brakpan);HQ Administrator;"25 Hendrik Potgieter Road; Dalview; Brakpan; 1541";011 581 8777;management@remax-excel.co.za;-262430957;283509802;25 Hendrik Potgieter Road; Dalview; Brakpan;1541;management@remax-excel.co.za;www.remax.co.za;Vanessa Sofianos;;;;
800638;RE/MAX;Exclusive (Klerksdorp);HQ Administrator;"55 Buffeldoorn Road; Wilkoppies; Klerksdorp; 2571";+27 (0)18 4681 693;remaxexc@lantic.net;-268245202;266736139;PO Box 14285; Flamwood Walk; Flamwood; Klerksdorp;2535;remaxexc@lantic.net;www.remax.co.za;Vanessa Sofianos;;;
513742;RE/MAX;Exclusive (Stilfontein);HQ Administrator;"1 Winnie Mandela Road; Stilfontein; 2551";184681693;remaxexc@lantic.net;26843307;267413257;PO Box 14285; Flamwood Walk; Flamwood; Klerksdorp;2535;remaxexc@lantic.net;www.remax.co.za;NULL;;;
800692;RE/MAX;Executive Group (Dainfern);HQ Administrator;"Block C Unit 18; Cedar Tree Office Park; Cedar Road; Broadacres; 2021";27 011 467 0721;lee@remaxexec.co.za;-260106888;279952303;Private Bag X153; Postnet Suite 756; Bryanston;lee@remaxexec.co.za;www.remax.co.za;Valerie Kritzinger;;;;;
804067;RE/MAX;Finally Home (Mondeor);HQ Administrator;"155 Columbine Avenue; Mondeor; 2091";+27 11 022 5359;jayson@remax-finallyhome.co.za;-2627291622;2799724067;155 Columbine Avenue; Mondeor;2091;jayson@remax-finallyhome.co.za;;Valerie Kritzinger;;;;;
800609;RE/MAX;Finest (Alberton);HQ Administrator;"55 Hennie Alberts Road; Brakenhurst; Alberton;1449";011 867 3629;admin@remaxfinest.co.za;-263188014;280979551;P O Box 145665; Braken Gardens;1452;admin@remaxfinest.co.za;www.remaxfinest.co.za;Vanessa Sofianos;;;;;
800676;RE/MAX;Finest (Vanderbijlpark);HQ Administrator;"143 Piet Retief Road; Vanderbijlpark";016 932 4192;admin@remaxfinest.co.za;-2672185;2784293;143 Piet Retief Road; Vanderbijlpark;admin@remaxfinest.co.za;www.remaxfinest.co.za;Vanessa Sofianos;;;;;;
800675;RE/MAX;Finest (Walkerville);HQ Administrator;"84 Main Road; Walkerville; 1876";+27 (0) 11 9492834;admin@remaxfinest.co.za;-264150737;279529272;84 Main Road; Walkerville;1876;admin@remaxfinest.co.za;www.remax.co.za;Vanessa Sofianos;;;;;
800543;RE/MAX;First (Bloemfontein);HQ Administrator;"Honey Chambers; Northridge Mall; Kenneth Kaunda Road; Bloemfontein; 9301";051 447 4914;remax@remaxfirst.co.za;-290722289;262345113;P O Box 29830; Danhof;9310;remax@remaxfirst.co.za;www.remaxfirst.co.za;Gavin van Zyl;;;;;
800581;RE/MAX;Frontier (Grahamstown);HQ Administrator;"22 African Street; Grahamstown; 6140";046 622 6061;jean@remaxfrontier.co.za;-333084184;265219239;P O Box 7090; Grahamstown North;6148;jean@remaxfrontier.co.za;www.remaxfrontier.co.za;Gavin van Zyl;;;;;
800678;RE/MAX;Gold (Carletonville);HQ Administrator; Willie Roeland;"Shop 4; 3A Ada Street; Carletonville; 2499";018 786 3850 / 6 / 8;reception@remaxgold.co.za;-263584259;27396245;Shop 4; 3A Ada Street; Carletonville;2499;reception@remaxgold.co.za;www.remax.co.za;Vanessa Sofianos;;;
800574;RE/MAX;Gold (Fochville);HQ Administrator; Willie Roeland;"44 Losberg Avenue; Fochville; 2515";+27 (0)18 771 5229;reception@remaxgold.co.za;-264895371;27494532;P O Box 633; Fochville;2515;reception@remaxgold.co.za;www.remax.co.za;Vanessa Sofianos;;;;
803989;RE/MAX;Goldfields (Welkom);HQ Administrator; Willie Roeland; Ernst   Wepener; Martus De Wet;"Unit 2; Negotium Building; 15 De Kaap Street; Welkom; 9460";057 004 0077;ernst@remaxgoldfields.co.za;-27979327;267413969;Unit 2; Negotium Building; 15 De Kaap Street; Welkom;9460;ernst@remaxgoldfields.co.za;;Gavin van Zyl
75498;RE/MAX;Helderberg (Pringle Bay);Beatrix Joubert; HQ Administrator;"ASK Security Building; 438 Central Road; Pringle Bay; 7196";832864144;info@remax-helderberg.co.za;-34350034;18830534;PO Box 11449; Bloubergrandt;7443;;;;;;;
800616;RE/MAX;Helderberg (Somerset West);Beatrix Joubert; Beatrix Joubert; HQ Administrator; Jose De Abreu;"Shop 28A; Waterstone Village; Main Road; Somerset West;7130";021 852 6464;info@remax-helderberg.co.za;-340697797;188226476;PO Box 11449; Bloubergrandt;7443;info@remax-helderberg.co.za;www.remax.co.za;Tommy Thompson;;
804076;RE/MAX;Helderberg (Stellenbosch);Beatrix Joubert; HQ Administrator; Jose De Abreu;"Shop MS01; Eikestad Mall; 6 Plein Street; Stellenbosch; 7600";+27 (0) 21 054 8393;info@remax-helderberg.co.za;-33936844;1886035;PO Box 11449; Bloubergrandt;7443;info@remaxhelderberg.co.za;;Tommy Thompson;;;
803078;RE/MAX;Helderberg (Strand);Beatrix Joubert; Beatrix Joubert; HQ Administrator; Jose De Abreu;"Shop 7A; Koop Sentrum Building; 86 Beach Road; Strand; 7130";021 853 0822;info@remax-helderberg.co.za;-34117713;188280949;Shop 7A; Koop Sentrum Building; 86 Beach Road; Strand;7130;info@remax-helderberg.co.za;;Tommy Thompson
802329;RE/MAX;Helderstroom (Louis Trichardt);HQ Administrator; Andre  Van Niekerk;"Shop 2;3 & 4; 115 Krogh Street; Louis Trichardt; 0920";872308571;hap@proforumacc.co.za;-230407627;299069569;Shop 2;3 & 4; 115 Krogh Street; Louis Trichardt;920;hap@proforumacc.co.za;www.remax.co.za;Vanessa Sofianos;;
800586;RE/MAX;Heritage (St Lucia);Lourens de Lange; HQ Administrator;"9 Dolfyn Street; St Lucia; 3936";+27 (0)35 590 1717;info@remax-heritage.co.za ;-28377997;32412049;P O Box 267;St Lucia;3936;info@remax-heritage.co.za;www.remax-heritage.co.za;Valerie Kritzinger;;;;
523196;RE/MAX;Home;HQ Administrator;"5 Otto Close; Westlake; Tokai; 7945";825711378;yolandi.rodgers@remax-home.co.za;-34079328;18440331;5 Otto Close; Westlake; Tokai;7945;yolandi.rodgers@remax-home.co.za;NULL;NULL;;;;
800662;RE/MAX;Homefinders (Secunda);HQ Administrator;"8 Charl Cilliers Street; Secunda; 2302";017 634 1024;financial@remaxhomefinders.net;-26511912;29199855;8 Charl Cilliers Street; Secunda;2302;financial@remaxhomefinders.net;www.remax.co.za;Vanessa Sofianos;;;;;
75491;RE/MAX;Horizon (Brits);HQ Administrator;"92 Van Velden Street; Brits; 0250";+27 12 2532996;marilise@remaxhorizon.co.za;-256235494;277438664;92 Van Velden Street; Brits;250;marilise@remaxhorizon.co.za;www.remax.co.za;Valerie Kritzinger;;;;;
800627;RE/MAX;Horizon (Hartbeespoortdam);HQ Administrator;"61 Scott Street; Schoemansville;Hartbeespoortdam; 0260";012 253 2996;marilise@remaxhorizon.co.za;-257286127;278671351;61 Scott Street; Schoemansville;Hartbeespoortdam;260;marilise@remaxhorizon.co.za;www.remax.co.za;Valerie Kritzinger;;;;
804077;RE/MAX;Impact (Athlone);Trevor November; HQ Administrator;"Office No.2; Kromboom Medi-Centre; Kromboom Road; Crawford; 7764";021 7616476;info@remax-impact.co.za;-33973425;18506011;Office No.2; Kromboom Medi-Centre; Kromboom Road; Crawford;7764;athlone@remax-impact.co.za;www.remax.co.za;Tommy Thompson;;
1800;RE/MAX;Impact (Grassy Park);Trevor November; HQ Administrator; Tracy November;"53 Victoria Road; Grassy Park; 7941";021 7051867;info@remax-impact.co.za;-3405324;1848954;53 Victoria Road Grassy Park;7941;info@remax-impact.co.za;;Tommy Thompson;;;;
800613;RE/MAX;In Action (Bronkhorstspruit);Louis Stephanus Van Zyl; HQ Administrator; Gerrie Nel;"27 Rooth Street; Erasmus; Bronkhorstspruit; 1020";;;;;;;;;;;;;
800576;RE/MAX;Independent Properties (Lorraine);Kobie Potgieter; HQ Administrator;"Cnr Centenary & Circular Drive; Lorraine; Port Elizabeth; 6070";041 368 1100;esme@remaxind.co.za;-339680815;25526719;PO BOX 211107; The Fig Tree;6033;esme@remaxind.co.za;www.remaxind.co.za;Gavin van Zyl;;;;
800592;RE/MAX;Independent Properties (Walmer);Kobie Potgieter; HQ Administrator;"171 Main Road; Walmer; 6045";041 581 7414;remaxind@mweb.co.za;-3398082;255777;PO BOX 211107; The Fig Tree;6033;remaxind@mweb.co.za;www.remaxind.co.za;Gavin van Zyl;;;;
803752;RE/MAX;Infinity (Worcester);HQ Administrator;"House Malan; 25/27 Baring Street; Worcester; 6850";+27 23 110 0040;chantel@remaxinfinity.co.za;-33643178;194428623;House Malan; 25/27 Baring Street; Worcester;6850;chantel@remaxinfinity.co.za;;Tommy Thompson;;;;
800611;RE/MAX;Infoglobe (Constantia);HQ Administrator;"477 Mendelsohn Street; Constantia Park; Pretoria; 0081";861273629;marieth@remaxinfo.co.za;-25798461;28287424;477 Mendelsohn Street; Constantia Park; Pretoria;81;marieth@remaxinfo.co.za;www.remaxinfo.co.za;Vanessa Sofianos;;;;
800691;RE/MAX;Infoglobe (Midstream);HQ Administrator;"43 Hornbill Avenue; Rooihuiskraal; Pretoria; 0157";861273629;marieth@remaxinfo.co.za;-2588518;2816024;43 Hornbill Avenue; Rooihuiskraal; Pretoria;157;marieth@remaxinfo.co.za;www.remax.co.za;Vanessa Sofianos;;;;
